Priorité;Domaine;Type;Numéro;Titre_FR;Titre_AR;Mots_clés_variantes;Règle_de_vérification
1;Sécurité juridique et pénal spécial;Loi;;Infractions informatiques;جرائم نظم المعالجة الآلية للمعطيات;cybercriminalité données;Vérifier textes
1;Sécurité juridique et pénal spécial;Loi;;Protection des témoins et victimes;حماية الشهود والضحايا;témoins victimes dénonciateurs;Vérifier textes
1;Sécurité juridique et pénal spécial;Loi;;Traite des êtres humains;الاتجار بالبشر;traite personnes;Vérifier textes
2;Sécurité juridique et pénal spécial;Loi;;Textes relatifs aux substances réglementées;النصوص المتعلقة بالمواد الخاضعة للتنظيم;contrôle substances réglementées;Vérifier textes officiels sans contenu pratique
2;Sécurité juridique et pénal spécial;Loi;;Textes relatifs à la sécurité publique;النصوص المتعلقة بالأمن العام;sécurité ordre public;Vérifier textes officiels sans contenu pratique
1;Fiscalité SEO;Code;;Code général des impôts 2026;المدونة العامة للضرائب 2026;CGI 2026 impôts;Version annuelle obligatoire
1;Fiscalité SEO;Code;;Code général des impôts 2025;المدونة العامة للضرائب 2025;CGI 2025 impôts;Version annuelle obligatoire
1;Fiscalité SEO;Code;;Code général des impôts 2024;المدونة العامة للضرائب 2024;CGI 2024 impôts;Version annuelle obligatoire
1;Fiscalité SEO;Code;;Code général des impôts 2023;المدونة العامة للضرائب 2023;CGI 2023 impôts;Version annuelle obligatoire
1;Fiscalité SEO;Loi annuelle;;Loi de finances 2026;قانون المالية 2026;LF 2026;Version annuelle obligatoire
1;Fiscalité SEO;Loi annuelle;;Loi de finances 2025;قانون المالية 2025;LF 2025;Version annuelle obligatoire
1;Fiscalité SEO;Loi annuelle;;Loi de finances 2024;قانون المالية 2024;LF 2024;Version annuelle obligatoire
1;Fiscalité SEO;Loi annuelle;;Loi de finances 2023;قانون المالية 2023;LF 2023;Version annuelle obligatoire
1;Fiscalité SEO;Texte fiscal;;Taxe sur la valeur ajoutée;الضريبة على القيمة المضافة;TVA;Vérifier dans CGI
1;Fiscalité SEO;Texte fiscal;;Impôt sur le revenu;الضريبة على الدخل;IR;Vérifier dans CGI
1;Fiscalité SEO;Texte fiscal;;Impôt sur les sociétés;الضريبة على الشركات;IS;Vérifier dans CGI
1;Fiscalité SEO;Texte fiscal;;Droits d'enregistrement;واجبات التسجيل;enregistrement;Vérifier dans CGI
1;Fiscalité SEO;Texte fiscal;;Taxe professionnelle;الرسم المهني;taxe professionnelle;Vérifier fiscalité locale + CGI
1;Fiscalité SEO;Texte fiscal;;Taxe de services communaux;رسم الخدمات الجماعية;TSC fiscalité locale;Vérifier loi 47-06
1;Fiscalité SEO;Texte fiscal;;Taxe d'habitation;رسم السكن;taxe habitation;Vérifier loi 47-06
